GPA,SAT,Age,Gender,EssayScore,InterviewScore,ExtracurricularScore,RecommendationScore,LegacyStatus,FinancialAid,FirstGeneration,Race_American_Indian_or_Alaska_Native,Race_Asian,Race_Black_or_African_American,Race_Native_Hawaiian_or_Other_Pacific_Islander,Race_White,Ethnicity_Hispanic_or_Latino,Accept
3.03,1239,18,1,8,8,5,5,0,2,0,1,0,0,0,0,0,1
2.57,1129,18,1,6,5,5,5,0,0,1,0,0,0,1,0,0,0
3.56,1257,18,0,7,8,6,3,1,2,0,1,0,0,0,0,0,1
3.12,1227,18,0,6,9,6,7,0,0,1,0,1,0,0,0,0,1
3.39,1406,18,0,5,7,10,7,0,2,0,0,0,0,1,0,0,1
4.0,1410,23,0,8,7,7,5,0,0,1,1,0,0,0,0,0,1
2.89,1067,18,1,10,5,9,9,0,0,0,0,0,0,1,0,0,1
2.85,1229,18,0,6,6,6,5,0,1,0,0,1,0,0,0,0,0
2.85,1003,17,0,7,8,5,8,0,3,1,0,0,0,0,0,1,0
2.91,947,18,1,6,7,6,10,0,0,0,1,0,0,0,0,0,0
2.93,1202,17,1,10,7,6,7,0,0,1,0,0,1,0,0,0,1
2.94,1237,18,1,7,4,6,5,0,0,1,0,0,0,1,0,0,0
3.29,1438,22,0,9,7,5,5,0,1,1,0,0,1,0,0,0,1
3.66,1179,18,0,6,4,4,6,1,0,0,1,0,0,0,0,0,1
3.72,1247,18,1,5,8,7,5,0,0,0,0,0,0,1,0,0,1
3.67,1286,19,0,5,5,7,6,1,0,0,0,1,0,0,0,0,1
2.74,1219,19,1,6,7,7,6,0,1,1,1,0,0,0,0,0,0
2.53,1276,20,1,9,8,9,8,1,0,0,1,0,0,0,0,0,1
3.42,1176,17,0,5,3,6,9,0,0,0,1,0,0,0,0,0,1
2.99,1402,19,0,3,7,6,6,0,0,0,0,1,0,0,0,0,1
3.36,1213,21,0,4,6,2,10,0,3,0,0,0,0,1,0,0,1
3.75,1162,19,1,10,5,7,6,0,2,0,0,0,1,0,0,0,1
2.79,1413,24,0,7,6,4,7,0,2,1,0,1,0,0,0,0,1
3.21,1410,18,0,6,5,5,3,0,1,0,0,0,0,0,0,1,1
3.7,1177,25,0,10,7,8,5,0,0,0,0,0,0,0,0,1,1
2.81,1199,19,1,8,4,5,4,0,3,1,0,0,0,0,1,0,0
4.0,1278,25,1,5,9,5,3,0,0,0,0,1,0,0,0,0,1
3.97,1380,17,1,6,5,7,6,0,0,0,0,1,0,0,0,0,1
3.11,1152,18,0,9,10,7,9,0,0,0,0,0,1,0,0,0,1
3.8,1472,18,0,8,10,8,7,1,0,0,0,0,0,0,0,1,1
3.25,1027,17,1,3,6,7,6,0,0,1,1,0,0,0,0,0,0
2.95,1166,18,1,10,8,5,9,0,0,0,0,0,1,0,0,0,1
3.77,1275,24,0,8,9,4,7,0,0,0,0,0,0,0,0,1,1
3.4,1109,18,0,3,7,6,7,0,1,1,0,0,0,1,0,0,0
3.48,1209,21,0,6,7,3,4,1,1,0,0,0,0,0,0,1,1
3.06,1445,22,0,8,8,9,7,0,0,0,0,1,0,0,0,0,1
3.16,1219,18,1,6,3,8,7,0,0,0,0,1,0,0,0,0,0
2.43,1132,19,0,7,9,8,3,0,2,0,1,0,0,0,0,0,0
3.27,1213,19,0,8,2,3,7,0,1,0,0,0,0,1,0,0,0
3.78,1286,18,1,6,7,5,5,0,1,0,1,0,0,0,0,0,1
3.88,1202,18,0,6,7,4,3,0,1,1,0,0,0,0,0,1,1
3.57,1243,17,0,7,8,1,7,1,2,0,0,0,0,1,0,0,1
2.93,1032,17,0,8,5,8,5,0,0,0,0,0,0,0,0,1,0
2.85,1119,18,0,4,7,7,4,1,3,1,1,0,0,0,0,0,0
4.0,1173,18,0,8,9,8,7,1,1,1,0,0,1,0,0,0,1
3.55,1384,19,1,7,5,6,2,0,1,0,0,1,0,0,0,0,1
2.24,999,19,0,5,6,8,10,0,0,1,0,0,0,1,0,0,0
4.0,800,19,1,4,6,8,10,0,0,1,0,0,0,0,0,1,1
3.02,1002,17,1,6,4,4,3,0,2,0,0,0,0,1,0,0,0
3.7,1277,18,0,5,6,8,5,0,3,0,0,0,0,1,0,0,1
3.05,1009,19,1,9,10,7,3,0,0,1,0,1,0,0,0,0,0
3.71,1179,18,1,8,4,5,6,0,0,0,1,0,0,0,0,0,1
2.8,1033,19,1,6,10,8,4,0,1,0,0,0,1,0,0,0,0
3.01,1050,19,0,6,4,10,6,0,0,0,0,0,1,0,0,0,0
3.5,1149,20,0,4,8,6,4,0,2,0,1,0,0,0,0,0,0
2.19,1159,18,0,9,8,7,8,1,2,0,1,0,0,0,0,0,0
3.56,1010,19,0,5,5,6,7,0,2,0,0,1,0,0,0,0,0
3.05,994,23,0,7,8,6,6,0,0,1,1,0,0,0,0,0,0
3.18,989,18,1,6,5,4,7,1,2,0,1,0,0,0,0,0,0
2.35,1212,18,1,9,8,5,6,0,1,0,0,0,0,0,0,1,0
3.8,1213,17,1,5,7,5,5,0,0,0,0,0,0,0,1,0,1
3.54,1258,18,1,10,10,6,5,0,0,1,0,1,0,0,0,0,1
2.51,1231,18,0,5,6,7,5,0,1,0,0,0,1,0,0,0,0
3.25,1212,17,1,4,10,8,9,0,0,1,0,0,1,0,0,0,1
2.65,1242,18,1,5,9,6,4,0,1,0,0,0,0,1,0,0,0
3.33,1066,19,0,8,7,8,5,1,0,0,1,0,0,0,0,0,1
3.0,1216,17,1,7,7,9,5,0,1,0,0,0,0,0,1,0,1
3.18,1088,18,1,6,7,6,8,0,0,0,0,1,0,0,0,0,0
3.07,1266,18,1,8,6,1,7,0,2,1,0,0,0,1,0,0,0
3.73,920,18,0,4,5,6,3,1,0,0,1,0,0,0,0,0,0
3.47,1121,19,1,5,1,8,8,0,1,0,0,1,0,0,0,0,0
2.17,1240,20,0,9,7,7,8,0,0,1,0,0,0,0,1,0,0
3.51,1097,18,0,9,8,8,6,0,1,0,1,0,0,0,0,0,1
2.36,1220,17,1,8,9,7,4,0,1,1,0,0,0,1,0,0,0
2.73,1096,18,1,4,8,9,7,1,0,0,0,0,1,0,0,0,0
3.39,1042,18,0,6,7,8,7,0,2,0,0,0,0,1,0,0,1
2.48,1079,17,0,8,7,5,3,0,0,0,1,0,0,0,0,0,0
3.63,1080,18,0,9,6,8,8,0,1,1,0,0,0,1,0,0,1
2.71,998,18,1,6,3,5,5,0,2,1,1,0,0,0,0,0,0
2.98,1018,17,0,6,4,7,7,0,2,0,0,0,1,0,0,0,0
3.1,1392,17,1,5,9,8,7,0,0,0,0,1,0,0,0,0,1
3.69,1214,17,0,9,9,6,7,1,0,0,0,1,0,0,0,0,1
3.96,1378,18,0,5,6,9,9,0,0,1,0,0,0,0,1,0,1
3.45,1531,17,1,4,5,10,6,0,0,0,0,0,1,0,0,0,1
3.48,992,17,0,4,9,3,8,0,3,0,0,0,0,1,0,0,0
3.98,1174,23,0,6,7,6,10,0,0,0,0,0,0,0,0,1,1
3.44,1390,19,0,6,7,10,5,0,0,0,0,0,0,0,0,1,1
2.63,986,19,1,8,8,9,6,0,1,0,1,0,0,0,0,0,0
2.78,1105,18,1,7,7,8,6,0,0,0,1,0,0,0,0,0,0
3.71,1189,17,0,9,6,7,4,1,2,0,0,0,0,0,0,1,1
2.81,1093,17,1,8,8,5,6,0,1,1,0,0,0,1,0,0,0
2.95,1199,17,1,5,6,6,10,0,0,0,0,1,0,0,0,0,0
2.0,949,17,0,6,4,6,7,0,0,1,0,0,0,1,0,0,0
4.0,1233,18,0,7,9,5,10,0,2,0,0,0,0,0,1,0,1
2.95,1157,18,0,6,6,6,8,1,2,0,0,0,0,0,1,0,0
2.98,1083,18,0,4,6,6,7,0,1,0,0,0,0,0,1,0,0
3.45,1117,17,0,4,1,7,8,0,2,0,0,0,0,1,0,0,0
3.79,1085,22,1,4,8,5,9,0,1,1,0,0,0,0,1,0,1
2.79,1217,18,1,5,7,4,3,0,2,0,0,0,1,0,0,0,0
3.66,948,18,0,10,6,6,7,1,1,1,0,0,0,0,1,0,1
3.3,1411,17,1,4,8,4,7,0,3,1,0,0,1,0,0,0,1
3.29,868,18,0,5,4,5,9,0,1,0,0,0,1,0,0,0,0
3.55,1257,20,0,9,9,5,5,0,0,1,1,0,0,0,0,0,1
3.04,1048,17,0,4,7,5,8,0,1,0,1,0,0,0,0,0,0
3.03,1183,17,1,4,5,10,10,1,1,1,0,1,0,0,0,0,1
2.83,1139,18,0,8,3,7,5,0,0,0,0,0,0,1,0,0,0
3.83,1059,18,0,6,4,7,6,0,1,1,0,1,0,0,0,0,1
3.66,1115,18,0,6,5,7,7,0,1,0,0,0,0,0,1,0,1
3.37,1106,17,1,8,7,3,7,0,2,0,0,0,1,0,0,0,0
4.0,1252,18,1,5,8,5,5,0,1,1,0,0,1,0,0,0,1
3.67,1103,18,0,6,8,5,4,0,2,0,1,0,0,0,0,0,1
3.57,1050,17,1,7,9,10,6,0,1,0,0,1,0,0,0,0,1
2.0,1394,21,0,9,10,5,4,0,2,0,0,0,0,1,0,0,0
3.88,1133,18,0,9,10,6,7,1,2,0,1,0,0,0,0,0,1
3.66,1536,18,0,9,7,6,6,0,1,0,0,1,0,0,0,0,1
2.98,1401,24,1,7,8,10,5,0,0,0,1,0,0,0,0,0,1
3.32,1005,17,0,6,5,5,9,0,2,1,0,0,0,0,1,0,0
3.47,1260,17,1,7,2,9,5,0,3,0,0,0,0,0,1,0,1
2.7,1209,18,1,8,8,6,6,0,1,0,0,1,0,0,0,0,0
3.87,1325,19,0,3,6,8,5,0,1,1,0,0,0,0,0,1,1
2.71,1451,19,1,7,4,7,9,1,1,1,0,0,0,0,1,0,1
3.61,1366,23,1,4,7,9,9,0,2,0,0,0,0,1,0,0,1
3.61,1141,19,0,8,4,5,9,0,2,1,1,0,0,0,0,0,1
2.87,1329,25,0,1,3,7,9,0,0,0,0,1,0,0,0,0,0
2.87,1404,19,1,6,6,6,6,0,2,0,0,0,1,0,0,0,1
2.67,1054,21,0,3,8,7,5,1,0,0,0,0,1,0,0,0,0
3.66,1254,18,1,6,6,3,6,0,0,0,0,0,0,0,1,0,1
3.49,1171,18,0,9,5,10,10,0,0,0,1,0,0,0,0,0,1
2.9,1206,17,1,7,10,4,8,0,0,1,0,0,1,0,0,0,1
3.01,1100,18,0,6,5,7,8,0,0,0,0,0,0,0,1,0,0
3.64,1368,17,0,5,8,6,8,1,2,1,0,0,0,1,0,0,1
2.82,1353,19,1,10,10,8,8,1,2,0,0,1,0,0,0,0,1
3.15,861,18,1,7,9,9,6,0,1,0,0,0,0,1,0,0,0
2.95,1063,18,0,9,5,10,4,0,1,0,0,0,0,1,0,0,0
3.17,1378,17,0,5,6,9,8,0,2,0,0,0,0,0,0,1,1
3.01,1336,17,1,8,7,5,7,0,0,0,0,1,0,0,0,0,1
3.13,1179,17,1,10,6,7,3,0,3,0,1,0,0,0,0,0,1
4.0,1294,18,0,9,6,7,9,0,1,0,0,0,1,0,0,0,1
2.94,854,21,1,5,7,9,8,0,0,0,0,0,0,0,1,0,0
3.22,1239,17,0,7,9,4,10,1,0,1,0,0,0,1,0,0,1
3.8,1383,17,0,7,10,8,8,0,0,1,0,0,1,0,0,0,1
3.36,1087,18,1,6,4,6,6,0,1,0,0,1,0,0,0,0,0
2.27,1154,18,1,5,7,9,4,0,1,0,0,1,0,0,0,0,0
4.0,1141,20,1,9,3,6,5,0,1,0,0,0,0,1,0,0,1
2.79,1068,17,1,8,5,4,9,0,0,0,0,0,0,0,0,1,0
3.03,1306,17,1,5,7,7,7,0,2,1,0,0,1,0,0,0,1
3.24,1237,20,1,1,4,7,10,0,1,0,0,1,0,0,0,0,0
3.04,878,18,1,6,8,4,7,0,1,0,0,0,0,0,0,1,0
3.61,1137,17,1,8,9,6,7,0,0,0,0,0,1,0,0,0,1
3.09,1236,22,1,8,6,6,7,0,1,1,0,1,0,0,0,0,1
4.0,1385,19,1,3,6,6,7,1,0,0,0,0,0,0,0,1,1
2.0,1136,18,1,6,7,10,8,0,3,0,0,0,0,0,1,0,0
3.45,1338,18,1,5,7,9,6,0,1,0,0,1,0,0,0,0,1
4.0,1130,18,1,6,10,5,8,0,0,1,0,0,0,1,0,0,1
3.39,1393,18,1,9,5,5,9,0,0,0,0,0,1,0,0,0,1
3.19,968,19,0,5,4,6,6,0,0,0,1,0,0,0,0,0,0
2.32,1185,18,1,7,5,8,7,0,1,0,0,0,0,1,0,0,0
3.42,1097,20,1,5,5,7,9,0,2,1,0,0,1,0,0,0,1
2.98,1051,18,0,7,7,10,7,0,2,0,0,0,1,0,0,0,0
2.72,1332,19,1,5,8,5,6,1,1,1,0,0,0,0,0,1,0
3.04,899,17,0,4,6,7,6,1,2,0,0,0,1,0,0,0,0
2.75,1160,17,1,6,8,6,7,0,0,0,0,0,0,0,0,1,0
3.71,1268,18,0,8,5,9,7,0,2,0,0,0,0,0,0,1,1
3.48,1092,22,0,3,9,9,7,1,0,0,0,0,1,0,0,0,1
3.53,1176,18,1,4,5,4,7,0,0,0,0,0,0,0,0,1,0
2.99,1131,17,0,8,6,6,6,0,1,0,0,0,1,0,0,0,0
3.2,1531,18,1,7,7,5,6,0,1,0,0,0,0,0,0,1,1
3.19,1123,21,0,6,4,7,7,0,2,1,0,0,0,1,0,0,0
3.44,1169,18,1,6,6,3,8,0,0,0,0,0,0,1,0,0,1
2.71,1107,17,0,10,5,4,7,0,1,1,0,0,0,1,0,0,0
3.06,1316,18,0,7,7,3,7,0,1,0,0,0,0,0,0,1,1
3.48,1193,19,0,4,9,7,8,0,0,0,0,1,0,0,0,0,1
3.34,1221,17,1,6,6,7,8,0,2,0,0,1,0,0,0,0,1
2.68,927,17,0,8,3,10,6,0,1,0,0,1,0,0,0,0,0
3.18,1160,18,1,4,6,1,3,0,0,1,1,0,0,0,0,0,0
2.96,1155,18,1,10,4,8,7,0,2,0,0,0,0,1,0,0,1
3.87,1233,17,1,7,5,5,8,0,1,0,0,1,0,0,0,0,1
3.94,945,17,0,6,6,6,8,1,3,0,1,0,0,0,0,0,1
3.46,967,22,1,8,1,3,10,0,2,0,0,0,0,1,0,0,0
3.36,1152,18,1,10,8,8,8,0,2,0,0,1,0,0,0,0,1
3.53,1222,18,1,6,6,4,5,0,2,0,0,0,0,0,1,0,1
3.5,1135,17,0,6,9,4,9,0,1,0,0,0,0,1,0,0,1
3.53,1171,17,0,5,4,6,3,0,0,0,0,0,0,1,0,0,0
3.21,1139,17,0,7,6,8,5,0,0,0,0,0,1,0,0,0,0
3.9,1088,18,0,6,8,2,6,0,0,1,0,0,0,1,0,0,1
2.82,1159,18,1,10,5,8,3,0,1,0,1,0,0,0,0,0,0
2.5,1425,18,0,6,7,4,6,0,0,0,0,1,0,0,0,0,0
2.71,1249,19,0,4,9,3,6,0,1,1,0,1,0,0,0,0,0
3.49,983,20,1,8,6,8,5,0,0,0,0,0,0,1,0,0,0
3.56,1519,18,0,5,9,4,7,0,3,0,0,0,0,0,1,0,1
2.3,1390,19,1,8,7,9,6,0,1,0,1,0,0,0,0,0,1
3.59,1271,19,0,4,10,7,9,1,3,1,1,0,0,0,0,0,1
3.17,1038,18,0,8,6,10,7,0,1,0,0,0,1,0,0,0,1
3.6,1135,18,0,7,6,5,3,0,0,0,0,0,1,0,0,0,0
2.89,1211,18,0,8,6,6,4,0,3,0,0,0,0,0,0,1,0
2.96,1237,17,0,10,4,8,7,0,0,1,0,0,0,1,0,0,1
3.6,1268,18,0,4,8,8,6,0,1,0,0,0,0,1,0,0,1
3.3,1073,19,1,8,4,9,3,0,2,0,0,0,0,0,0,1,0
3.0,1060,18,0,7,4,6,5,0,3,1,0,0,0,0,1,0,0
4.0,1019,20,1,6,3,5,7,0,1,0,0,0,0,0,0,1,1
3.52,1182,25,1,7,7,6,10,1,2,1,0,1,0,0,0,0,1
2.92,1071,19,1,5,6,7,7,0,1,0,0,0,0,1,0,0,0
2.87,1057,18,1,6,4,7,8,0,2,1,1,0,0,0,0,0,0
3.75,1416,18,0,6,10,6,3,0,0,0,0,0,1,0,0,0,1
2.77,1033,20,0,4,9,8,6,0,1,1,0,0,0,1,0,0,0
4.0,1193,23,1,9,7,1,6,0,0,0,0,0,0,0,0,1,1
3.62,1043,17,0,5,6,2,7,0,1,0,0,0,0,0,1,0,0
4.0,1256,19,0,10,10,4,6,0,0,1,0,0,0,1,0,0,1
3.8,1083,22,1,6,7,9,9,0,0,0,0,0,0,0,1,0,1
3.22,1181,18,0,8,4,7,4,0,0,0,0,0,0,0,1,0,0
2.78,1409,18,0,6,7,7,7,0,1,0,0,0,1,0,0,0,1
3.15,1370,17,0,4,6,8,6,1,0,0,0,0,0,0,0,1,1
3.43,1156,18,1,8,5,6,8,0,1,0,0,0,0,0,1,0,1
3.28,1365,18,1,6,7,7,5,0,2,0,0,1,0,0,0,0,1
3.12,1122,17,1,3,9,5,4,0,1,0,1,0,0,0,0,0,0
3.8,1348,18,1,10,7,6,4,1,1,0,0,0,0,1,0,0,1
2.57,1450,18,1,7,9,9,8,1,0,0,1,0,0,0,0,0,1
3.44,1401,19,1,8,4,7,9,0,0,0,0,0,1,0,0,0,1
3.34,1381,18,1,3,9,1,7,0,2,0,0,0,0,0,1,0,1
2.9,1200,19,1,6,4,9,5,0,0,0,0,0,0,0,0,1,0
3.09,1083,17,0,9,6,10,4,0,1,1,0,0,0,0,0,1,0
3.48,1364,18,0,5,8,6,6,0,0,0,0,0,0,1,0,0,1
3.32,1168,17,1,4,8,7,7,0,0,0,0,0,0,0,0,1,1
2.53,1077,23,0,5,8,7,8,0,0,0,1,0,0,0,0,0,0
3.54,1253,18,0,4,7,8,6,0,0,1,1,0,0,0,0,0,1
3.56,1443,18,0,7,6,5,6,0,1,1,0,1,0,0,0,0,1
3.18,1060,24,0,9,5,4,7,0,0,0,0,0,0,0,0,1,0
3.97,1273,18,0,6,7,5,10,0,0,1,0,0,0,1,0,0,1
3.12,1090,18,1,7,6,10,4,0,0,0,0,1,0,0,0,0,0
3.36,1330,18,0,4,6,6,8,0,2,1,0,1,0,0,0,0,1
3.87,1246,18,1,7,8,4,7,0,1,0,1,0,0,0,0,0,1
4.0,1298,17,1,7,5,6,5,0,2,0,0,0,0,0,0,1,1
3.25,1404,17,1,9,9,6,2,0,0,0,0,0,0,0,0,1,1
3.79,1327,17,1,8,2,5,5,0,1,0,0,0,0,0,1,0,1
2.97,1147,18,0,7,8,6,6,0,2,0,0,0,0,1,0,0,0
3.09,1344,17,0,5,9,6,5,0,1,1,1,0,0,0,0,0,1
4.0,973,18,0,6,6,2,6,0,0,1,0,0,0,0,0,1,0
3.44,1186,18,0,6,7,9,5,0,0,0,0,1,0,0,0,0,1
3.75,1107,17,0,7,3,8,4,1,1,0,1,0,0,0,0,0,1
2.96,1301,18,1,4,5,9,9,0,2,0,0,0,0,1,0,0,1
2.98,1329,20,0,7,5,8,4,1,1,0,0,0,0,0,0,1,1
4.0,1469,19,1,8,7,5,5,0,1,0,0,0,0,1,0,0,1
3.27,1258,18,1,5,6,9,5,0,0,0,0,0,0,1,0,0,1
3.0,922,17,1,5,8,8,4,0,1,1,0,0,0,0,1,0,0
2.88,1390,18,0,8,8,8,6,1,3,1,0,0,1,0,0,0,1
3.74,1076,18,1,5,7,6,5,0,0,0,0,0,0,0,1,0,1
3.44,999,17,1,7,8,5,7,0,0,1,0,0,0,1,0,0,0
2.67,1041,17,1,7,4,5,8,0,2,0,0,0,0,0,1,0,0
2.42,1206,17,1,6,10,5,4,0,0,1,0,0,0,0,0,1,0
3.74,1181,17,1,5,4,7,8,0,2,0,0,0,0,0,0,1,1
3.02,1212,17,0,5,8,6,5,0,0,0,0,0,0,0,0,1,0
3.32,1283,20,0,7,5,6,7,0,0,0,0,1,0,0,0,0,1
3.19,1205,18,1,5,6,6,6,0,0,0,1,0,0,0,0,0,0
3.09,1111,17,1,6,5,1,5,0,0,0,1,0,0,0,0,0,0
3.01,1253,21,1,4,7,6,5,0,1,0,0,0,0,0,0,1,0
2.84,1342,23,0,7,8,6,4,1,1,0,0,0,1,0,0,0,1
3.59,1295,18,0,7,8,3,5,1,2,0,0,0,0,1,0,0,1
3.3,920,18,1,6,7,5,4,1,1,1,1,0,0,0,0,0,0
3.44,1169,17,0,10,6,4,6,1,2,1,0,1,0,0,0,0,1
4.0,1215,17,1,8,7,6,8,0,0,1,0,0,0,0,0,1,1
2.43,953,19,0,5,7,6,6,0,1,0,0,0,1,0,0,0,0
3.43,1252,19,0,6,6,7,6,0,1,0,0,0,0,0,1,0,1
2.24,1147,18,0,10,8,6,5,1,1,1,0,0,1,0,0,0,0
2.95,1168,17,1,8,10,5,6,0,0,1,0,0,0,0,0,1,1
3.07,1271,18,1,5,10,6,6,0,1,0,0,0,1,0,0,0,1
3.89,1365,18,1,8,7,6,9,0,2,0,0,0,0,0,1,0,1
2.96,1223,18,1,5,7,9,7,1,1,0,0,0,0,0,1,0,1
3.17,1045,17,0,10,8,5,4,0,1,1,0,0,0,0,0,1,0
3.3,1213,17,1,4,6,9,7,0,3,0,0,0,0,0,1,0,1
3.28,1154,17,0,5,3,7,6,0,2,1,0,0,0,1,0,0,0
4.0,1445,17,1,9,10,9,3,0,0,1,0,0,0,1,0,0,1
3.04,972,20,0,7,9,7,7,0,0,1,0,1,0,0,0,0,0
2.77,1161,19,1,5,6,5,6,0,3,0,0,0,1,0,0,0,0
3.0,1014,17,1,6,7,9,3,0,1,1,0,0,0,0,1,0,0
2.87,1223,18,1,2,7,10,6,1,1,1,1,0,0,0,0,0,0
2.67,1135,17,1,7,7,7,10,0,0,0,1,0,0,0,0,0,0
2.6,1193,18,1,3,5,6,8,0,0,0,0,1,0,0,0,0,0
3.71,1295,17,0,6,9,7,6,0,0,0,0,0,0,0,0,1,1
3.49,1122,18,0,6,8,7,3,1,0,0,0,0,0,0,0,1,1
2.77,1215,20,0,6,7,6,5,1,2,0,0,0,0,1,0,0,0
3.93,938,18,1,7,8,8,8,0,0,0,0,0,0,0,0,1,1
3.19,1107,17,1,4,5,4,10,0,2,0,0,0,1,0,0,0,0
3.23,982,18,0,9,8,7,7,0,2,0,0,0,1,0,0,0,0
2.58,1424,17,0,8,4,7,6,0,0,0,0,0,1,0,0,0,1
2.73,877,18,1,7,7,6,5,0,1,1,0,0,1,0,0,0,0
3.47,1169,18,1,8,4,4,7,0,0,1,0,0,1,0,0,0,1
3.37,1171,18,0,8,6,4,5,0,0,1,0,0,1,0,0,0,0
3.24,1253,17,1,7,6,9,6,0,0,1,1,0,0,0,0,0,1
3.09,1360,17,1,7,6,8,7,0,1,0,0,0,0,0,0,1,1
2.48,1025,19,0,7,6,9,7,0,0,0,0,0,0,0,1,0,0
3.5,1216,17,1,4,9,9,4,0,1,0,0,0,0,0,0,1,1
3.77,1146,18,1,9,8,4,7,0,0,0,0,1,0,0,0,0,1
3.26,1336,17,0,4,8,3,10,0,1,0,0,0,0,0,1,0,1
2.11,1249,18,0,8,7,4,6,0,1,0,0,1,0,0,0,0,0
3.06,1021,17,1,7,5,6,5,0,1,0,0,0,0,0,0,1,0
3.0,1064,23,1,4,6,8,8,0,1,0,0,0,0,0,0,1,0
3.47,1098,18,0,9,4,8,7,0,3,0,0,0,0,1,0,0,1
4.0,1457,17,0,8,8,3,10,0,0,1,0,0,0,0,0,1,1
3.09,1093,17,0,8,5,7,4,0,0,0,0,0,1,0,0,0,0
2.99,1307,18,0,5,5,5,1,0,2,0,0,0,0,0,0,1,0
2.74,935,19,0,7,7,6,5,0,0,0,0,0,0,0,1,0,0
3.29,1339,17,0,9,8,7,9,0,3,0,0,0,0,0,0,1,1
3.05,1276,20,0,7,5,6,6,0,0,0,0,1,0,0,0,0,1
2.68,1337,17,0,5,6,7,6,0,0,0,0,0,0,0,1,0,0
3.25,1503,19,0,6,7,5,7,1,3,0,0,0,0,0,1,0,1
3.79,1101,17,0,6,6,10,9,0,3,0,0,0,0,1,0,0,1
3.44,847,18,1,6,5,7,6,0,2,1,0,0,0,0,0,1,0
3.93,1338,19,1,7,7,7,7,1,2,1,0,0,0,1,0,0,1
3.49,1208,19,1,8,9,7,6,0,1,1,0,0,0,1,0,0,1
3.08,1147,18,1,4,3,2,7,0,0,1,1,0,0,0,0,0,0
3.36,1048,24,1,6,10,2,5,0,1,1,1,0,0,0,0,0,0
2.83,1368,18,1,9,6,4,8,0,1,1,0,0,0,0,1,0,1
3.05,1242,17,0,8,1,9,5,1,1,0,0,0,0,0,0,1,0
2.77,1200,18,1,6,7,4,6,0,2,0,1,0,0,0,0,0,0
