GPA,SAT,Age,Gender,EssayScore,InterviewScore,ExtracurricularScore,RecommendationScore,LegacyStatus,FinancialAid,FirstGeneration,Race_American_Indian_or_Alaska_Native,Race_Asian,Race_Black_or_African_American,Race_Native_Hawaiian_or_Other_Pacific_Islander,Race_White,Ethnicity_Hispanic_or_Latino,Admitted
3.69,1143,18,0,10,8,6,6,0,2,0,1,0,0,0,0,0,1
2.63,1245,18,0,7,8,8,6,0,0,0,0,0,0,0,1,0,1
2.95,1230,17,1,6,7,9,5,1,1,0,1,0,0,0,0,0,0
3.51,1484,17,0,6,6,5,10,0,0,0,0,0,0,0,1,0,1
2.18,898,18,1,7,6,9,6,0,0,1,0,0,0,1,0,0,0
3.29,811,18,0,7,5,8,10,0,2,0,0,0,0,0,0,1,0
2.68,1509,18,1,5,7,7,7,0,2,0,0,1,0,0,0,0,1
3.21,1313,18,0,6,4,4,5,0,0,0,0,0,0,0,0,1,1
3.02,1114,18,1,5,8,4,6,0,2,1,0,1,0,0,0,0,0
4.0,1225,18,0,7,6,5,6,0,1,1,1,0,0,0,0,0,1
3.0,1236,18,1,5,5,6,6,0,2,1,0,0,0,1,0,0,0
4.0,1110,18,0,4,4,10,6,0,0,0,0,0,1,0,0,0,1
3.49,1221,18,0,9,6,5,8,0,0,1,0,0,1,0,0,0,1
2.8,1253,17,0,6,6,8,7,0,2,0,0,1,0,0,0,0,1
3.37,1502,18,0,10,5,6,8,1,1,0,1,0,0,0,0,0,1
3.05,1344,18,1,3,8,7,10,1,1,1,0,1,0,0,0,0,1
3.32,1460,18,1,4,7,6,6,0,1,0,0,0,0,0,0,1,1
2.84,998,18,0,7,7,7,9,0,3,1,0,0,0,0,0,1,0
4.0,1147,19,1,6,5,7,9,0,1,0,0,0,0,0,0,1,1
3.66,1236,17,1,4,5,6,9,0,1,0,0,0,0,1,0,0,1
3.22,911,21,0,9,4,7,3,0,2,0,0,0,0,0,1,0,0
4.0,1377,17,1,5,6,9,10,0,2,0,0,0,1,0,0,0,1
3.24,1296,23,1,9,8,5,5,0,0,0,0,1,0,0,0,0,1
3.75,1144,18,0,6,4,9,3,0,1,0,0,0,0,0,0,1,1
3.22,1172,18,1,4,5,6,10,0,1,1,0,0,0,0,1,0,0
3.4,1388,17,1,5,6,6,8,1,0,1,0,0,0,0,0,1,1
3.16,1080,17,1,9,8,8,8,0,1,0,1,0,0,0,0,0,1
3.25,1394,17,1,6,4,6,6,0,0,0,0,0,0,1,0,0,1
3.29,1162,17,1,8,10,7,7,0,0,0,0,1,0,0,0,0,1
2.87,1313,18,1,9,8,7,6,0,3,0,0,1,0,0,0,0,1
3.0,1213,18,1,6,5,2,5,0,0,0,0,0,0,1,0,0,0
3.09,1534,19,0,6,4,7,7,1,1,0,0,1,0,0,0,0,1
3.31,1066,17,1,6,7,4,7,0,0,0,0,0,0,0,1,0,0
3.18,1114,21,1,7,7,4,4,0,1,1,0,0,0,1,0,0,0
3.79,974,18,0,10,5,7,7,0,0,0,0,0,0,0,0,1,1
3.62,1035,17,0,4,4,8,3,0,1,0,0,0,1,0,0,0,0
3.1,1306,18,0,7,5,9,10,0,2,0,0,0,0,1,0,0,1
3.89,1440,17,1,7,7,4,6,0,0,0,0,0,0,1,0,0,1
4.0,1323,17,0,3,7,5,4,1,0,0,0,1,0,0,0,0,1
2.18,1199,18,0,5,10,7,8,0,1,0,0,0,0,0,0,1,0
3.67,1065,18,0,5,2,9,5,0,0,0,0,0,0,1,0,0,1
2.85,1334,21,0,8,5,7,6,1,0,0,0,0,1,0,0,0,1
3.6,1057,18,0,8,5,5,7,0,0,0,0,1,0,0,0,0,1
3.82,997,23,1,3,7,10,4,0,1,0,0,1,0,0,0,0,1
2.76,1153,22,0,8,8,6,10,0,2,1,1,0,0,0,0,0,1
2.27,894,20,0,8,6,6,10,0,1,0,0,1,0,0,0,0,0
3.62,992,18,0,8,10,4,5,0,1,0,0,0,1,0,0,0,1
3.27,1482,17,0,7,4,8,4,0,0,1,0,1,0,0,0,0,1
2.37,964,17,1,8,5,8,5,0,2,0,0,0,1,0,0,0,0
4.0,1021,18,0,9,4,5,6,0,0,0,0,1,0,0,0,0,1
3.51,1210,18,0,3,6,10,9,0,3,0,0,0,1,0,0,0,1
3.54,1218,17,1,6,6,5,5,0,0,0,0,1,0,0,0,0,1
3.88,1164,18,0,6,8,8,4,0,3,0,1,0,0,0,0,0,1
2.91,899,17,0,5,10,7,7,0,1,0,0,1,0,0,0,0,0
3.27,1327,19,0,6,9,2,4,1,0,1,0,0,0,0,0,1,1
2.54,1133,17,1,7,4,8,9,1,3,0,0,0,1,0,0,0,0
2.9,1383,18,1,4,7,7,8,0,0,0,0,0,1,0,0,0,1
3.39,1103,19,0,8,8,3,5,1,2,0,0,0,1,0,0,0,1
2.37,1347,17,0,6,8,10,6,1,2,0,0,0,0,0,0,1,1
2.88,1394,18,1,8,10,7,7,0,0,0,0,0,1,0,0,0,1
2.74,1129,19,1,5,6,9,4,0,0,1,0,1,0,0,0,0,0
3.27,1332,17,1,5,7,3,5,0,1,0,0,0,1,0,0,0,0
3.49,1000,17,0,5,10,6,6,0,1,0,0,0,0,0,1,0,1
3.57,1239,18,1,5,7,9,4,0,2,0,0,0,1,0,0,0,1
3.7,1383,18,0,5,5,3,6,0,2,0,0,0,1,0,0,0,1
3.89,1277,18,0,7,5,6,4,0,0,1,0,1,0,0,0,0,1
3.5,1560,17,1,9,7,7,9,0,2,0,0,0,0,0,1,0,1
4.0,1286,18,1,7,9,3,6,0,3,0,1,0,0,0,0,0,1
3.26,1145,17,0,6,9,4,5,1,0,1,0,1,0,0,0,0,1
3.11,1600,19,1,7,5,9,8,0,0,0,0,0,0,0,1,0,1
3.5,1445,18,1,6,7,7,5,0,1,0,0,0,0,1,0,0,1
3.09,959,19,0,7,6,9,4,0,2,1,0,0,1,0,0,0,0
4.0,1082,18,1,6,6,7,8,0,0,1,0,0,0,0,1,0,1
3.77,1044,19,0,8,8,10,6,0,2,0,0,0,1,0,0,0,1
3.58,1296,18,1,1,6,7,8,0,3,0,1,0,0,0,0,0,1
3.27,1285,18,1,2,8,9,6,0,0,0,1,0,0,0,0,0,1
3.0,1284,18,0,9,8,6,7,1,1,0,0,0,0,0,1,0,1
3.55,955,19,0,6,5,7,8,0,0,0,0,0,0,1,0,0,1
2.64,1104,18,1,8,9,8,5,1,0,1,0,0,0,0,0,1,0
3.97,1177,18,0,5,4,8,5,0,1,0,0,1,0,0,0,0,1
3.11,926,18,1,10,4,6,9,0,2,0,0,0,0,0,0,1,0
3.35,1069,19,1,6,6,7,8,0,1,0,0,1,0,0,0,0,1
2.75,1403,18,0,7,5,8,6,0,3,0,1,0,0,0,0,0,1
3.56,966,18,0,6,8,8,8,0,0,0,0,0,1,0,0,0,1
2.97,1418,18,0,5,10,4,8,0,1,1,0,0,1,0,0,0,1
3.52,1363,18,1,3,9,7,8,0,2,0,0,0,0,0,1,0,1
3.58,1156,22,0,8,5,7,4,0,0,0,0,0,0,0,0,1,1
2.88,1102,19,0,7,5,5,6,0,1,0,0,0,0,1,0,0,0
2.64,1324,18,0,7,8,8,9,0,1,1,0,0,1,0,0,0,1
3.97,1081,18,0,4,4,7,10,1,2,1,0,0,1,0,0,0,1
3.1,1089,19,1,9,5,10,5,0,1,1,0,1,0,0,0,0,1
3.31,1196,18,0,7,7,6,7,0,1,0,0,0,0,1,0,0,1
3.44,880,24,0,8,5,9,7,0,3,1,0,0,1,0,0,0,1
2.57,982,17,1,6,7,8,4,0,0,0,0,0,0,1,0,0,0
3.43,1152,17,1,4,6,10,6,0,1,0,0,0,1,0,0,0,1
3.25,1271,17,0,8,6,5,3,1,1,1,0,1,0,0,0,0,1
2.88,1079,18,1,7,8,6,6,0,0,1,0,0,1,0,0,0,0
2.62,1170,22,1,6,8,5,4,0,1,1,0,1,0,0,0,0,0
3.5,957,17,1,7,8,6,7,0,0,0,0,1,0,0,0,0,1
3.76,1339,19,1,8,8,4,6,0,2,0,0,0,0,0,1,0,1
3.29,1233,18,0,8,8,3,6,0,2,1,0,0,0,1,0,0,1
2.48,1246,19,0,3,6,2,10,1,0,0,0,1,0,0,0,0,0
2.67,1273,18,1,4,4,2,7,0,0,0,1,0,0,0,0,0,0
2.98,1211,19,1,8,6,8,10,1,2,1,0,0,1,0,0,0,1
3.98,1127,17,1,5,7,6,7,0,0,0,0,0,0,0,0,1,1
3.08,1369,19,1,4,7,4,8,0,1,1,0,0,0,1,0,0,1
2.97,1223,17,0,7,7,5,5,0,0,1,0,0,0,1,0,0,1
2.36,1175,18,0,4,10,5,5,0,0,0,1,0,0,0,0,0,0
2.87,1198,19,1,6,5,5,7,0,0,0,0,1,0,0,0,0,0
2.58,1195,17,1,8,6,10,9,1,0,0,0,1,0,0,0,0,1
2.7,1173,17,1,3,9,9,6,0,1,1,0,0,0,0,0,1,0
3.26,1266,18,1,4,7,10,4,0,2,0,0,0,0,0,1,0,1
3.0,1059,18,0,3,7,7,7,0,1,0,0,1,0,0,0,0,1
4.0,1070,18,0,5,5,7,7,1,1,0,0,0,0,0,0,1,1
3.74,1283,17,1,7,5,5,5,1,1,0,1,0,0,0,0,0,1
2.9,1178,17,1,5,4,5,6,0,0,0,0,0,0,0,0,1,0
2.74,1345,18,1,10,7,7,5,0,0,1,0,0,0,0,0,1,1
3.89,1261,17,1,7,5,8,8,0,0,1,0,0,0,0,1,0,1
4.0,1117,21,1,6,4,9,7,0,1,0,0,0,0,1,0,0,1
2.1,1286,17,0,9,8,5,7,0,2,0,0,1,0,0,0,0,1
3.25,1379,18,1,4,5,4,5,0,1,0,0,1,0,0,0,0,1
3.07,1267,17,0,8,4,8,9,1,1,0,0,0,0,1,0,0,1
3.52,1299,17,1,6,4,3,7,0,0,0,0,1,0,0,0,0,1
4.0,1174,18,1,6,8,6,2,0,2,1,0,1,0,0,0,0,1
2.96,1348,18,0,8,6,7,7,0,2,0,0,1,0,0,0,0,1
2.17,1112,17,0,6,6,6,6,0,0,0,1,0,0,0,0,0,0
3.49,1250,17,1,7,7,3,6,1,1,0,0,0,0,1,0,0,1
3.89,1585,17,0,6,7,6,8,0,1,1,0,0,1,0,0,0,1
3.05,1280,19,0,7,5,10,7,0,1,0,0,1,0,0,0,0,1
2.85,1136,18,1,5,6,8,10,0,3,0,0,0,0,1,0,0,0
2.98,1136,17,0,8,8,9,7,0,2,0,1,0,0,0,0,0,1
3.63,1189,18,0,2,8,4,6,0,1,0,1,0,0,0,0,0,1
2.97,1327,19,1,8,5,7,3,0,1,0,0,0,0,1,0,0,0
3.36,1221,20,0,3,9,7,5,1,0,0,1,0,0,0,0,0,1
3.21,1102,22,1,5,10,7,6,0,0,0,1,0,0,0,0,0,0
3.16,1102,18,0,8,6,8,9,0,0,1,0,0,1,0,0,0,1
3.55,1222,17,1,2,6,7,6,0,0,1,0,0,0,0,0,1,0
2.96,1206,17,1,7,5,4,10,0,3,0,0,0,0,0,1,0,0
2.98,1268,19,0,4,5,8,4,0,1,1,1,0,0,0,0,0,0
3.6,1337,24,0,5,7,8,5,0,2,0,0,1,0,0,0,0,1
2.71,1600,18,0,4,10,9,9,0,2,1,0,0,1,0,0,0,1
2.76,980,18,0,4,8,9,5,0,2,0,0,0,1,0,0,0,0
2.57,1303,18,1,3,6,7,9,0,0,0,1,0,0,0,0,0,0
3.62,1214,18,1,10,6,4,5,0,1,0,0,0,1,0,0,0,1
3.15,923,17,0,6,5,3,5,0,0,0,0,0,0,0,0,1,0
2.54,1387,18,0,4,9,6,8,1,3,0,1,0,0,0,0,0,1
3.63,1263,17,1,5,6,8,5,0,2,0,0,0,0,0,1,0,1
2.92,1319,17,0,7,7,8,6,0,0,0,0,0,0,1,0,0,1
2.76,945,18,1,6,6,7,7,0,0,1,1,0,0,0,0,0,0
3.1,1166,17,1,4,10,6,6,0,1,0,0,0,0,0,1,0,0
3.94,1038,17,1,5,5,10,5,0,0,1,0,1,0,0,0,0,1
3.0,1524,17,0,9,5,8,4,0,2,1,0,0,0,0,1,0,1
3.49,1371,20,1,4,6,6,9,0,2,0,0,0,0,0,1,0,1
3.56,1097,19,1,3,7,5,10,0,2,0,0,0,0,1,0,0,0
3.42,969,17,0,6,9,4,7,0,1,0,1,0,0,0,0,0,1
3.84,1229,18,1,3,7,4,6,0,1,1,0,0,0,1,0,0,1
2.85,1363,17,0,5,8,4,6,1,0,0,1,0,0,0,0,0,1
2.68,939,18,0,4,8,7,8,0,2,1,0,0,0,1,0,0,0
2.67,1060,19,0,4,3,6,9,0,2,1,0,0,0,0,0,1,0
3.13,1034,20,0,7,6,6,5,0,0,1,0,0,0,0,1,0,0
2.73,1330,18,1,7,6,8,9,1,0,0,0,0,0,0,0,1,1
3.27,1144,25,1,5,6,10,8,0,0,0,0,0,0,1,0,0,1
3.24,1150,24,1,6,5,5,9,0,2,1,1,0,0,0,0,0,0
3.71,1226,20,0,5,8,5,3,0,0,1,0,0,0,1,0,0,1
3.35,1068,18,0,7,7,2,6,1,1,0,0,0,0,0,1,0,0
2.99,983,18,1,4,7,6,6,0,0,0,0,1,0,0,0,0,0
3.41,1405,18,0,7,6,6,6,0,2,0,0,0,1,0,0,0,1
2.68,1419,17,1,7,5,8,10,0,1,0,0,0,0,0,1,0,1
3.18,1226,17,1,10,3,6,6,0,0,1,1,0,0,0,0,0,0
3.36,1237,19,1,3,7,5,7,1,0,0,0,0,0,0,1,0,0
3.26,1389,18,0,10,7,7,7,1,0,0,0,0,0,0,1,0,1
3.41,1223,21,0,8,8,8,6,0,2,0,0,0,0,1,0,0,1
2.88,1137,17,0,10,7,3,5,0,2,1,0,0,0,1,0,0,0
3.78,1205,17,1,8,4,9,10,0,0,0,0,0,0,0,1,0,1
4.0,1408,19,0,5,5,9,6,0,1,0,0,0,0,0,0,1,1
2.4,1207,18,1,8,9,8,8,0,0,0,0,0,0,0,1,0,0
2.59,1099,17,1,5,7,5,6,0,2,0,1,0,0,0,0,0,0
3.22,1222,25,0,6,8,6,6,0,0,0,0,0,1,0,0,0,1
3.07,1298,19,1,4,8,9,7,1,2,0,0,0,1,0,0,0,1
4.0,1280,18,0,5,5,5,7,0,1,0,1,0,0,0,0,0,1
3.31,1282,19,1,8,6,8,6,0,1,0,0,0,1,0,0,0,1
3.9,1075,18,1,7,8,6,5,0,0,1,0,1,0,0,0,0,1
2.18,1315,19,0,9,5,7,7,0,0,0,0,1,0,0,0,0,1
3.61,1204,19,0,4,6,5,7,1,1,0,0,0,0,0,0,1,1
2.84,1093,17,1,3,5,7,5,0,1,0,0,0,1,0,0,0,0
2.83,1314,18,1,9,5,7,5,0,0,0,1,0,0,0,0,0,0
3.08,1131,17,0,9,6,3,7,1,2,0,0,0,0,0,1,0,1
2.49,963,17,1,7,6,6,3,0,1,1,0,0,0,1,0,0,0
3.42,1049,21,0,7,6,8,6,1,0,0,0,0,0,1,0,0,1
3.3,1172,18,0,8,7,6,7,0,2,1,0,0,0,0,1,0,1
3.33,1286,19,1,7,8,2,10,0,3,0,0,0,0,0,0,1,1
3.64,1070,19,1,8,8,6,7,0,0,0,1,0,0,0,0,0,1
3.96,1163,22,1,8,7,9,6,1,2,1,1,0,0,0,0,0,1
3.02,1017,20,1,6,10,6,7,0,1,0,0,0,1,0,0,0,0
3.44,1347,18,0,6,8,9,5,0,3,0,0,0,0,0,1,0,1
3.35,1457,18,0,7,8,5,6,1,0,1,1,0,0,0,0,0,1
3.39,1441,17,0,10,6,4,7,0,3,0,0,1,0,0,0,0,1
3.4,1344,18,0,5,6,6,8,0,0,0,0,0,1,0,0,0,1
4.0,1329,18,1,6,7,5,5,0,1,0,0,0,0,0,1,0,1
2.97,889,18,1,3,8,7,6,0,0,1,0,0,0,0,0,1,0
2.44,1226,18,1,7,7,6,3,0,0,0,0,0,0,0,0,1,0
2.85,1125,24,1,5,5,9,8,1,1,0,0,0,1,0,0,0,0
3.58,1332,19,1,4,4,6,6,1,1,1,0,1,0,0,0,0,1
3.21,819,18,1,6,3,7,10,0,0,0,0,0,0,1,0,0,0
2.97,1228,18,1,9,7,8,7,0,0,0,1,0,0,0,0,0,1
2.66,1167,17,0,6,8,8,5,0,0,1,0,0,0,0,0,1,0
3.31,1367,17,0,6,2,9,4,0,0,0,0,0,1,0,0,0,1
3.52,1432,19,1,9,5,6,8,0,0,0,0,0,0,0,0,1,1
3.35,1060,17,1,6,5,6,10,1,0,0,0,0,0,1,0,0,0
3.07,1067,19,1,4,7,3,9,0,0,1,0,0,1,0,0,0,0
3.27,1234,18,1,8,5,10,4,0,1,0,0,0,0,0,0,1,1
3.27,1460,17,1,9,4,7,7,0,2,1,0,0,0,1,0,0,1
3.29,1209,17,0,6,5,8,9,0,0,0,0,0,0,1,0,0,1
2.61,1008,18,1,7,5,8,4,0,0,0,1,0,0,0,0,0,0
3.3,1109,18,0,4,7,7,9,0,1,0,0,0,1,0,0,0,1
2.98,1230,19,1,5,6,7,5,0,0,0,0,1,0,0,0,0,0
3.72,1236,19,0,6,7,5,6,0,1,0,0,0,0,1,0,0,1
3.27,1094,18,1,7,6,6,7,0,3,1,0,1,0,0,0,0,1
3.62,1106,19,1,5,9,5,9,0,2,0,0,0,0,0,1,0,1
3.05,1052,18,0,6,6,10,10,0,1,0,0,1,0,0,0,0,1
3.07,1371,23,0,6,8,8,6,0,1,1,0,0,1,0,0,0,1
3.95,1074,17,1,5,7,10,6,0,0,0,0,0,0,0,0,1,1
3.42,1130,19,0,6,6,10,5,1,1,1,0,0,0,0,1,0,1
2.84,1126,18,0,9,8,4,8,0,2,0,0,0,0,0,0,1,1
3.65,959,17,1,5,5,8,8,0,2,0,0,0,0,0,1,0,0
2.93,1070,17,1,5,9,4,8,0,1,1,0,1,0,0,0,0,0
3.31,1384,18,1,10,5,7,7,0,0,1,0,0,1,0,0,0,1
4.0,1018,17,1,7,4,7,7,0,0,0,0,1,0,0,0,0,1
2.48,1055,17,1,5,4,4,6,0,0,0,0,0,0,1,0,0,0
3.11,1000,25,1,8,7,5,6,1,2,0,1,0,0,0,0,0,0
3.4,1186,19,0,7,5,7,8,0,0,0,1,0,0,0,0,0,1
3.58,1482,19,1,5,7,7,7,0,0,1,0,0,0,0,0,1,1
2.58,1180,19,1,6,4,4,6,0,2,0,0,0,0,0,1,0,0
2.43,1210,23,0,6,7,5,9,0,0,1,1,0,0,0,0,0,0
3.75,1080,18,1,8,7,4,5,0,1,0,0,0,0,0,1,0,1
2.84,1190,17,1,8,6,4,7,0,0,0,0,0,0,1,0,0,0
2.82,1384,20,1,2,8,6,4,0,1,1,1,0,0,0,0,0,0
3.98,1221,19,1,10,8,8,5,0,0,0,0,0,0,0,1,0,1
3.23,1519,18,0,6,7,9,7,0,1,1,0,0,0,1,0,0,1
3.24,1388,18,0,10,8,10,5,0,2,0,0,0,1,0,0,0,1
3.11,1187,18,1,8,9,7,6,0,1,0,0,0,0,1,0,0,1
2.59,1184,21,1,7,5,7,9,0,1,0,1,0,0,0,0,0,0
3.54,1444,18,1,6,9,7,6,0,2,1,0,0,1,0,0,0,1
3.4,1220,23,0,10,5,7,8,1,0,0,0,0,1,0,0,0,1
3.28,1411,21,1,6,8,3,5,0,2,0,0,0,1,0,0,0,1
3.14,1500,18,1,5,8,10,8,0,0,0,0,0,0,1,0,0,1
3.05,1169,18,0,5,6,3,4,0,0,0,0,0,1,0,0,0,0
3.66,1252,18,0,7,6,9,6,0,0,0,1,0,0,0,0,0,1
3.13,1347,17,1,6,6,7,8,0,0,0,0,1,0,0,0,0,1
3.17,1315,17,0,9,5,4,7,0,3,0,0,0,1,0,0,0,1
3.46,1314,19,1,8,5,8,8,1,0,0,0,1,0,0,0,0,1
3.3,999,18,0,8,7,6,8,1,0,1,0,0,0,0,1,0,1
4.0,1072,17,0,6,8,5,6,0,1,1,1,0,0,0,0,0,1
2.32,1125,17,1,8,6,4,9,0,0,0,0,0,0,1,0,0,0
3.35,1382,22,0,8,4,4,7,0,2,0,1,0,0,0,0,0,1
2.85,1014,18,0,6,4,5,6,0,3,0,0,1,0,0,0,0,0
2.73,1428,21,1,7,6,6,7,0,0,0,0,0,0,0,0,1,1
2.97,1316,18,0,8,5,4,7,0,0,1,1,0,0,0,0,0,1
3.23,1373,18,1,7,9,7,7,0,0,0,1,0,0,0,0,0,1
3.25,1060,17,0,7,5,4,6,0,1,0,0,1,0,0,0,0,1
2.44,1210,18,0,9,8,7,7,0,0,1,0,0,1,0,0,0,1
2.93,1244,18,0,7,5,9,8,1,1,0,0,0,0,1,0,0,1
3.34,1238,17,1,5,6,7,7,0,2,0,1,0,0,0,0,0,1
2.76,1244,18,0,4,7,6,7,0,1,0,1,0,0,0,0,0,0
2.64,1158,18,1,7,8,5,6,0,0,0,0,1,0,0,0,0,0
2.07,1220,18,0,6,7,9,5,0,0,0,0,0,0,1,0,0,0
2.87,1355,19,1,8,5,6,4,0,2,0,0,0,0,1,0,0,0
2.63,1025,18,1,10,7,10,5,0,1,0,0,0,1,0,0,0,0
2.71,1432,18,1,4,6,4,6,0,0,1,0,1,0,0,0,0,1
3.06,1347,24,0,5,4,7,10,0,1,0,0,0,1,0,0,0,1
2.9,1055,20,0,6,7,9,9,0,1,0,0,0,0,1,0,0,1
2.62,1257,23,1,5,9,5,5,0,0,0,0,0,0,0,1,0,0
2.14,1335,18,0,6,10,6,7,0,3,0,0,1,0,0,0,0,1
3.35,1014,19,0,5,7,8,6,1,2,0,0,0,0,0,0,1,1
3.58,1206,18,0,4,7,7,7,0,1,0,1,0,0,0,0,0,1
3.0,1188,17,0,8,1,8,5,0,2,0,0,1,0,0,0,0,1
3.07,1103,19,1,7,10,9,10,0,1,0,0,0,0,1,0,0,1
3.2,1213,18,0,10,9,6,10,0,2,0,0,0,1,0,0,0,1
3.99,1109,17,0,7,8,9,6,0,1,1,0,0,0,1,0,0,1
2.42,1406,17,0,9,7,3,5,0,1,0,0,0,1,0,0,0,0
2.99,1106,19,1,5,2,9,8,0,0,1,0,0,0,0,0,1,0
2.34,1318,17,1,5,7,9,4,0,0,0,0,0,0,0,1,0,0
3.38,951,17,1,10,7,5,8,0,0,0,1,0,0,0,0,0,0
3.13,1175,18,1,5,4,4,7,1,1,0,0,1,0,0,0,0,0
3.3,1201,17,0,5,7,6,4,0,1,1,1,0,0,0,0,0,1
3.28,1170,21,0,4,9,7,6,0,1,1,0,0,1,0,0,0,1
3.7,1140,18,0,10,7,6,5,1,2,1,0,0,0,1,0,0,1
3.47,1099,18,1,6,7,8,7,0,0,1,0,1,0,0,0,0,1
3.62,1313,21,1,7,7,10,7,1,0,0,0,0,0,1,0,0,1
2.67,1349,18,1,7,6,4,4,0,0,1,1,0,0,0,0,0,0
3.8,1187,18,0,5,8,3,6,0,0,1,0,0,1,0,0,0,1
2.84,1035,19,0,6,10,6,8,0,1,0,0,0,1,0,0,0,0
